[ 2025-02-03 20:20:01,841 ] 18 root - INFO - Initiate the data ingestion
[ 2025-02-03 20:20:03,801 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-03 20:20:03,801 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-03 20:20:03,801 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-03 20:20:03,859 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-03 20:20:03,860 ] 20 root - INFO - Data Initiation Completed
[ 2025-02-03 20:20:03,881 ] 25 root - INFO - Initiate the data Validation
[ 2025-02-03 20:20:03,942 ] 33 root - INFO - Required number of columns:2
[ 2025-02-03 20:20:03,943 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-03 20:20:03,943 ] 33 root - INFO - Required number of columns:2
[ 2025-02-03 20:20:03,943 ] 34 root - INFO - Data frame has columns:31
