[ 2025-02-05 21:54:49,123 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-05 21:54:51,153 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-05 21:54:51,153 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-05 21:54:51,154 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-05 21:54:51,218 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-05 21:54:51,219 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-05 21:54:51,229 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-05 21:54:51,298 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 21:54:51,298 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 21:54:51,298 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 21:54:51,298 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 21:54:51,453 ] 29 root - INFO - data Validation Completed
[ 2025-02-05 21:54:51,453 ] 33 root - INFO - data Transformation started
[ 2025-02-05 21:54:51,453 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 21:54:51,453 ] 58 root - INFO - Starting data transformation
[ 2025-02-05 21:54:51,480 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 21:54:51,480 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-05 21:54:51,497 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 21:54:51,502 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 21:54:51,502 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 21:54:51,506 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 21:54:51,509 ] 37 root - INFO - data Transformation completed
[ 2025-02-05 21:54:51,509 ] 40 root - INFO - data Transformation started
[ 2025-02-05 21:54:51,509 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 21:54:51,509 ] 58 root - INFO - Starting data transformation
[ 2025-02-05 21:54:51,540 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 21:54:51,541 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-05 21:54:51,554 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 21:54:51,558 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 21:54:51,558 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 21:54:51,562 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 21:54:51,565 ] 44 root - INFO - data Transformation completed
