[ 2025-02-05 08:20:31,633 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-05 08:20:35,143 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-05 08:20:35,143 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-05 08:20:35,144 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-05 08:20:35,245 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-05 08:20:35,246 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-05 08:20:35,253 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-05 08:20:35,330 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 08:20:35,341 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 08:20:35,341 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 08:20:35,341 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 08:20:35,547 ] 28 root - INFO - data Validation Completed
[ 2025-02-05 08:20:35,548 ] 32 root - INFO - data Transformation started
[ 2025-02-05 08:20:35,548 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 08:20:35,548 ] 59 root - INFO - Starting Data Transformation
[ 2025-02-05 08:20:35,577 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 08:20:35,577 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
