[ 2025-02-04 21:26:16,901 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-04 21:26:18,989 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-04 21:26:18,989 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-04 21:26:18,990 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-04 21:26:19,063 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-04 21:26:19,064 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-04 21:26:19,070 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-04 21:26:19,141 ] 33 root - INFO - Required number of columns:2
[ 2025-02-04 21:26:19,152 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-04 21:26:19,152 ] 33 root - INFO - Required number of columns:2
[ 2025-02-04 21:26:19,152 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-04 21:26:19,385 ] 28 root - INFO - data Validation Completed
[ 2025-02-04 21:26:19,385 ] 32 root - INFO - data Transformation started
