[ 2025-02-05 08:25:14,618 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-05 08:25:17,322 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-05 08:25:17,322 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-05 08:25:17,334 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-05 08:25:17,431 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-05 08:25:17,432 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-05 08:25:17,441 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-05 08:25:17,525 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 08:25:17,536 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 08:25:17,536 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 08:25:17,537 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 08:25:17,880 ] 28 root - INFO - data Validation Completed
[ 2025-02-05 08:25:17,885 ] 32 root - INFO - data Transformation started
[ 2025-02-05 08:25:17,886 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 08:25:17,886 ] 58 root - INFO - Starting data transformation
[ 2025-02-05 08:25:17,927 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 08:25:17,927 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-05 08:25:17,946 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 08:25:17,952 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 08:25:17,952 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 08:25:17,955 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 08:25:17,958 ] 36 root - INFO - data Transformation completed
