[ 2025-02-05 20:49:51,159 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-05 20:49:53,286 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-05 20:49:53,286 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-05 20:49:53,287 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-05 20:49:53,348 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-05 20:49:53,348 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-05 20:49:53,362 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-05 20:49:53,428 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 20:49:53,428 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 20:49:53,428 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 20:49:53,428 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 20:49:53,617 ] 29 root - INFO - data Validation Completed
[ 2025-02-05 20:49:53,617 ] 33 root - INFO - data Transformation started
[ 2025-02-05 20:49:53,617 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 20:49:53,617 ] 58 root - INFO - Starting data transformation
[ 2025-02-05 20:49:53,647 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 20:49:53,647 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-05 20:49:53,717 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 20:49:53,722 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 20:49:53,722 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 20:49:53,724 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 20:49:53,726 ] 37 root - INFO - data Transformation completed
[ 2025-02-05 20:49:53,726 ] 39 root - INFO - Model Training Started
