[ 2025-02-05 08:11:42,295 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-05 08:11:45,396 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-05 08:11:45,396 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-05 08:11:45,397 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-05 08:11:45,490 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-05 08:11:45,491 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-05 08:11:45,499 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-05 08:11:45,585 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 08:11:45,586 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 08:11:45,586 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 08:11:45,586 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 08:11:45,864 ] 28 root - INFO - data Validation Completed
[ 2025-02-05 08:11:45,864 ] 32 root - INFO - data Transformation started
