[ 2025-02-05 22:00:48,700 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-05 22:00:51,234 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-05 22:00:51,234 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-05 22:00:51,236 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-05 22:00:51,360 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-05 22:00:51,360 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-05 22:00:51,368 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-05 22:00:51,452 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 22:00:51,453 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 22:00:51,453 ] 33 root - INFO - Required number of columns:2
[ 2025-02-05 22:00:51,453 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-05 22:00:51,765 ] 29 root - INFO - data Validation Completed
[ 2025-02-05 22:00:51,766 ] 33 root - INFO - data Transformation started
[ 2025-02-05 22:00:51,766 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 22:00:51,766 ] 58 root - INFO - Starting data transformation
[ 2025-02-05 22:00:51,812 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 22:00:51,812 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-05 22:00:51,842 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 22:00:51,848 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 22:00:51,848 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 22:00:51,852 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 22:00:51,854 ] 37 root - INFO - data Transformation completed
[ 2025-02-05 22:00:51,854 ] 40 root - INFO - data Transformation started
[ 2025-02-05 22:00:51,854 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-05 22:00:51,854 ] 58 root - INFO - Starting data transformation
[ 2025-02-05 22:00:51,884 ] 42 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-02-05 22:00:51,884 ] 46 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-05 22:00:51,902 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 22:00:51,909 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 22:00:51,909 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-05 22:00:51,915 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-05 22:00:51,917 ] 44 root - INFO - data Transformation completed
