[ 2025-02-04 21:25:08,616 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-04 21:25:10,691 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-04 21:25:10,691 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-04 21:25:10,692 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-04 21:25:10,761 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-04 21:25:10,762 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-04 21:25:10,767 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-04 21:25:10,818 ] 33 root - INFO - Required number of columns:2
[ 2025-02-04 21:25:10,830 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-04 21:25:10,830 ] 33 root - INFO - Required number of columns:2
[ 2025-02-04 21:25:10,830 ] 34 root - INFO - Data frame has columns:31
[ 2025-02-04 21:25:10,986 ] 28 root - INFO - data Validation Completed
[ 2025-02-04 21:25:10,986 ] 32 root - INFO - data Transformation started
[ 2025-02-04 21:25:10,986 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-04 21:25:10,986 ] 65 root - INFO - Starting data transformation
[ 2025-02-04 21:25:11,015 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-04 21:25:11,015 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-04 21:25:11,047 ] 47 root - INFO - Entered the save_object method of MainUtils class
